id;background;icon;nama;harga;deskripsi ;star;navigate
18;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/October2019/nhj93oZApoMavF1lC6Wm.png;Big Mac;28100;Burger Ikonik McDonald's. Dua lapis daging sapi gurih disajikan dengan saus spesial. selada segar. keju. acar timun. bawang. diapit roti bertabur wijen;5;Beef
19;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/October2019/AfYw3Cwp5YqZ7wOP9aQu.png;Triple Burger with Cheese;15999;Perpaduan roti burger dengan 3 Lapisan daging gurih dan 2 lapisan keju. saus tomat. acar. potongan bawang dan mustard.;5;Beef
20;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/October2019/apZ1DxDmKvwS2lV12Elp.png;Double Cheeseburger;25000;Perpaduan roti burger dengan 2 Lapisan daging gurih dan 2 lapisan keju disajikan dengan saus tomat. acar. potongan bawang dan mustard.;4;Beef
21;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/October2019/5nxLKIp3cPfPnv7ZYjPb.png;Cheeseburger Deluxe;16800;Perpaduan roti burger dengan daging sapi gurih. selada segar. keju. saus tomat. acar. potongan bawang dan mustard.;3;Beef
22;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/October2019/NjWaPFVSG6NbXoTc4xAN.png;Cheeseburger with Egg;18500;Roti burger lezat dengan daging sapi. telur. keju. saus tomat. acar. potongan bawang dan mustard;2;Beef
23;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/October2019/uku5BjLSPYQswEWsXVFV.png;Cheeseburger;23500;Roti burger. daging sapi. keju. saus tomat. acar. potongan bawang dan mustard.;4;Beef
24;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/October2020/xUMv7DkqcamY0fGGaM7A.png;Mango Coconut McFlurry Oreo;28100;Es krim vanilla McD dipadukan dengan saus mangga dan saus kelapa yang segar ditambah topping Oreo yang lezat;5;IceCream
25;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/October2020/XRDyJUtuesOlbXFVATFv.pnghttps://nos.jkt-1.neo.id/mcdonalds/foods/October2020/XRDyJUtuesOlbXFVATFv.png;Mango Coconut McFlurry;5200;Es krim vanilla McD dipadukan dengan saus mangga dan saus kelapa yang segar;5;IceCream
26;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/October2020/uiaMAo3wh8yeCBcOr2rg.png;Lychee Waffle Cone;16800;Es krim vanilla McD dalam waffle cone pink renyah dengan topping saus buah leci yang manis dan kue mangga yang unik;4;IceCream
27;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2019/NErmB3hmpyesFaaOsnT1.png;McFlurry feat. Oreo;52999;Es krim vanilla lembut dengan campuran biskuit Oreo Crumbs;3;IceCream
28;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2019/3n6NerIcVPz93T0j46Gj.png;McFlurry Choco;36000;Es krim vanilla lembut dengan campuran bubuk coklat;2;IceCream
29;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2019/Cmkum3XzOL5YOnBgDMTQ.png;Chocolate Sundae;18182;Es krim vanilla lembut dengan pilihan topping saus coklat;4;IceCream
30;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/September2020/bxesaLJbzXctklqQZ5RV.png;Cheese Lover McFlavor Fries;28100;Kentang goreng istimewa yang disajikan dengan saus keju, yang terdiri dari 4 jenis keju yaitu Cheddar, Ementa, Camembert, Romano serta ditaburi parutan keju dan parsley.;5;Snacks
31;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2020/BE5pfP6dozxpicQxBedA.png;Kentang Goreng Gulai Gurih;5200;French Fries McD ukuran medium yang dibumbui dengan bumbu siap pakai yaitu Shake Shake Gulai Gurih.;5;Snacks
32;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2020/8hiIH1sJvvzSzZVAsBEg.png;Sweet Corn;16800;"Bulir jagung yang direbus hingga menghasilkan rasa manis yang alami dan bernutrisi
";4;Snacks
33;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/October2019/N6lms2s2I8EeH6Iq4uAi.png;French Fries;52999;Kentang goreng renyah dan gurih;3;Snacks
34;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2020/LDpG4wTa231U95h0w0qB.png;Chicken Fingers, Spicy Chicken Bites, Reg. Fries;36000;"6 pcs Spicy Chicken Bites, 5 pcs Chicken Fingers, Regular Fries, lengkap dengan dipping Crunchy Bubble dan saus Creamy Mayo
";2;Snacks
35;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/June2020/Bufjau4nuXkyI0bQHYov.png;Menu Receh 1+1 Rp18,182;18182;"Pilih salah 1 menu : Sweet Corn, Regular Fries, Chicken Snack Wrap, Breakfast Wrap, Beef Burger, Chicken Burger, Chicken Fingers, Spicy Chicken Bites lalu tambahkan dengan salah 1 menu Dessert. Untuk dua pilihan menu yang kamu pilih kamu hanya membayar Rp 18.182 saja!
";4;Snacks
36;https://i.imgur.com/d9kvguM.png;https://i.imgur.com/kRjQpZg.png;Egg and Cheese Muffin;55500;Perpaduan scrambled egg dan keju gurih dalam setangkup English Muffin hangat. Tersedia dari jam 5-11 pagi.;5;Home
37;https://i.imgur.com/d9kvguM.png;https://i.imgur.com/kRjQpZg.png;Chicken Muffin;150000;Setangkup English muffin hangat dilapis saus mayonais dengan daging ayam olahan yang digoreng dengan sempurna. Tersedia dari jam 5-11 pagi.;4;Home
38;https://i.imgur.com/d9kvguM.png;https://i.imgur.com/kRjQpZg.png;Sausage McMuffin with Egg;39999;Perpaduan klasik english muffin, sosis ayam khas McDonald's, telur, dan selembar keju bernutrisi. Tersedia dari jam 5-11 pagi.;5;Home
39;https://i.imgur.com/d9kvguM.png;https://i.imgur.com/kRjQpZg.png;Chicken Muffin with Egg;45000;Setangkup English muffin hangat dilapisi dengan saus mayonais, daging ayam olahan yang digoreng sempurna, telur, dan keju. Tersedia dari jam 5-11 pagi.;5;Home
40;https://i.imgur.com/d9kvguM.png;https://i.imgur.com/kRjQpZg.png;Big Breakfast;89000;Perpaduan English Muffin panggang yang disajikan dengan sosis ayam gurih, renyahnya Hashbrown serta lembutnya scrambled egg. Tersedia dari jam 5-11 pagi.;5;Home
41;https://i.imgur.com/d9kvguM.png;sdfsdf;Product Prototype 19;56000;dfssdfsdf;4;Home
